seed,chunk_x,chunk_z,total_cells,open_cells,open_fraction,tile_entropy,isovist_area_mean,isovist_area_var,perimeter_mean,perimeter_var,occlusivity_mean,occlusivity_var,jaggedness_mean,jaggedness_var,clustering_mean,clustering_var,drift_mean,drift_var
156,1,1,2500,2035,0.8140,0.7359,169.208,6721.074,92.376,1398.565,0.2939,0.02390,56.9225,999.7177,0.81602,0.023327,6.0479,14.2496
157,1,1,2500,1681,0.6724,0.6668,211.337,14077.710,104.388,1686.401,0.2460,0.02062,59.3963,1027.6497,0.85383,0.016793,7.8405,28.6216
158,1,1,2500,1737,0.6948,0.6433,182.964,8263.892,90.153,728.588,0.2333,0.02587,54.1767,1070.6461,0.84420,0.021510,6.9178,21.6825
159,1,1,2500,2067,0.8268,0.6303,217.337,8337.779,125.163,2960.750,0.3766,0.03026,77.5666,1743.6761,0.74307,0.028291,6.7733,13.6845
160,1,1,2500,1539,0.6156,0.6861,127.439,3428.034,75.188,1043.510,0.2387,0.01360,47.7152,683.0374,0.84127,0.015377,5.5110,15.8178
161,1,1,2500,2027,0.8108,0.7217,262.123,14842.463,98.605,760.760,0.2458,0.01408,44.1229,708.0787,0.87432,0.012775,7.1813,13.8941
162,1,1,2500,2252,0.9008,0.3966,464.019,54692.254,129.566,1393.889,0.2769,0.00994,43.9054,617.5646,0.86609,0.009762,8.9646,18.3720
163,1,1,2500,2201,0.8804,0.3470,272.469,11334.708,107.076,1054.530,0.2810,0.01767,46.4609,466.3240,0.82538,0.017824,7.2192,14.2677
164,1,1,2500,2148,0.8592,0.6879,318.798,17731.184,156.786,2823.566,0.4521,0.01315,83.7128,1289.6976,0.67513,0.016377,7.7820,13.5635
165,1,1,2500,2137,0.8548,0.7033,239.347,15973.527,119.780,2819.469,0.3536,0.02759,69.0162,1498.3982,0.78290,0.021930,6.8633,12.9434
166,1,1,2500,1909,0.7636,0.6977,246.201,14928.619,109.753,1052.985,0.3178,0.01594,58.2201,1060.2255,0.82248,0.013219,7.3343,16.9092
