seed,chunk_x,chunk_z,total_cells,open_cells,open_fraction,tile_entropy,isovist_area_mean,isovist_area_var,perimeter_mean,perimeter_var,occlusivity_mean,occlusivity_var,jaggedness_mean,jaggedness_var,clustering_mean,clustering_var,drift_mean,drift_var
167,1,1,2500,2120,0.8480,0.6388,260.937,29545.381,126.565,4179.851,0.3603,0.02512,67.3035,1286.7539,0.77853,0.017949,7.0370,15.7227
168,1,1,2500,1953,0.7812,0.5823,206.617,6940.507,112.402,1512.564,0.3840,0.01710,66.3953,1095.7516,0.73467,0.018727,6.3703,12.5427
169,1,1,2500,1906,0.7624,0.7055,175.389,8060.935,102.992,1937.577,0.3485,0.01937,63.4586,707.0451,0.74894,0.018207,6.3468,16.0206
170,1,1,2500,1848,0.7392,0.6831,137.780,4135.190,89.943,1179.595,0.2929,0.01931,65.6910,1370.7384,0.80763,0.022449,5.8885,16.3605
171,1,1,2500,1710,0.6840,0.6934,188.216,9091.973,92.360,1255.768,0.2425,0.02130,53.4726,1011.3317,0.84224,0.020012,6.5370,16.9391
172,1,1,2500,2006,0.8024,0.6237,266.393,25743.561,120.334,2277.062,0.3260,0.02278,63.1522,873.2639,0.81452,0.017373,7.7301,19.5603
173,1,1,2500,1916,0.7664,0.7106,229.825,13907.606,131.998,3387.704,0.3902,0.02459,82.0053,1434.2734,0.72973,0.022838,7.3637,17.0890
174,1,1,2500,1737,0.6948,0.5800,229.163,7980.401,123.942,1612.468,0.3879,0.01080,71.5752,793.6447,0.74062,0.016908,7.0967,15.5644
175,1,1,2500,2009,0.8036,0.7260,244.708,24670.236,144.452,4799.915,0.4415,0.02299,92.0236,1440.4891,0.69109,0.022437,7.0579,16.2793
176,1,1,2500,2134,0.8536,0.6647,232.695,28706.469,105.296,2749.290,0.3000,0.02367,55.6263,1030.9690,0.82646,0.017449,6.4111,15.6370
177,1,1,2500,2038,0.8152,0.7222,270.306,20833.266,120.913,2357.762,0.3362,0.02263,64.5353,1497.8888,0.78459,0.025509,7.1321,15.0210
178,1,1,2500,2095,0.8380,0.4886,178.702,8278.307,88.513,1045.157,0.2635,0.01259,50.1366,866.7447,0.80927,0.018310,5.9370,14.3299
