seed,chunk_x,chunk_z,total_cells,open_cells,open_fraction,tile_entropy,isovist_area_mean,isovist_area_var,perimeter_mean,perimeter_var,occlusivity_mean,occlusivity_var,jaggedness_mean,jaggedness_var,clustering_mean,clustering_var,drift_mean,drift_var
180,1,1,2500,2105,0.8420,0.6908,182.990,8575.000,119.634,2646.452,0.4249,0.02149,84.1973,1783.8855,0.69001,0.023997,6.1286,11.8245
181,1,1,2500,2157,0.8628,0.6493,235.936,12745.558,125.062,2205.828,0.3916,0.01240,71.3807,953.0782,0.74416,0.018412,6.5913,12.4886
182,1,1,2500,1570,0.6280,0.4772,413.712,29767.094,134.697,2349.470,0.2959,0.02643,50.0021,858.0620,0.81979,0.025460,8.0851,16.5263
183,1,1,2500,2094,0.8376,0.5019,517.954,99336.406,167.995,4862.516,0.3951,0.01323,63.4625,997.8627,0.76764,0.015900,8.9287,21.3800
184,1,1,2500,2149,0.8596,0.5998,280.427,23093.168,122.928,2439.157,0.3570,0.01963,66.2425,1741.7642,0.78147,0.018059,7.1917,14.5483
185,1,1,2500,1926,0.7704,0.7256,286.676,36568.746,137.261,5649.279,0.3895,0.02996,72.8675,1749.5753,0.74687,0.022535,7.2062,17.3452
186,1,1,2500,1864,0.7456,0.7026,327.111,37547.391,107.803,1882.310,0.2419,0.02366,46.7797,1081.3916,0.88599,0.015442,7.7721,18.0859
187,1,1,2500,2086,0.8344,0.5826,266.833,25016.793,118.449,2751.854,0.2743,0.02288,61.8301,1126.2838,0.81560,0.020783,8.3008,28.3617
188,1,1,2500,2112,0.8448,0.3982,454.418,118544.281,157.707,6447.995,0.3452,0.02413,65.4605,772.6333,0.82104,0.009260,9.0147,26.6159
189,1,1,2500,2096,0.8384,0.7851,263.773,13551.656,151.944,3648.752,0.4334,0.02083,91.9613,1811.5706,0.68844,0.022323,7.1816,17.3537
190,1,1,2500,1657,0.6628,0.7576,167.596,6155.181,93.946,1627.724,0.3120,0.02438,57.2959,860.6840,0.78683,0.024311,6.2232,15.4628
191,1,1,2500,1756,0.7024,0.6781,98.868,2558.897,76.474,1301.387,0.2859,0.02482,64.9766,1657.3987,0.79295,0.022268,5.2775,15.5382
192,1,1,2500,1492,0.5968,0.7114,100.881,2094.714,67.807,977.094,0.2254,0.01611,50.2057,980.0631,0.84831,0.019902,5.0582,14.9068
193,1,1,2500,1795,0.7180,0.6953,226.863,18680.172,113.656,2211.023,0.3626,0.01813,66.0915,1159.4945,0.77612,0.017755,6.8270,17.9588
194,1,1,2500,1828,0.7312,0.5508,155.321,8475.224,86.175,1462.764,0.2446,0.01671,52.9345,802.6801,0.83192,0.016895,6.2613,17.1977
195,1,1,2500,2159,0.8636,0.6813,253.898,18567.455,139.959,4782.242,0.3991,0.02816,81.6858,2068.6611,0.71702,0.026715,7.2039,19.9172
196,1,1,2500,2198,0.8792,0.5765,352.313,36288.238,113.860,1249.044,0.2511,0.02845,49.5180,1224.4033,0.85565,0.024329,7.8615,15.8272
197,1,1,2500,2177,0.8708,0.6628,468.627,91435.641,162.593,6297.121,0.3417,0.03092,66.2660,1238.3881,0.80813,0.019481,9.7041,27.3303
198,1,1,2500,2103,0.8412,0.7393,169.666,7130.063,94.353,1801.119,0.2946,0.02854,60.4785,1592.5336,0.79546,0.025540,5.7738,11.8397
199,1,1,2500,1757,0.7028,0.6376,224.788,15006.592,96.881,1105.910,0.2826,0.01302,49.1031,582.6959,0.83077,0.013776,6.6548,13.8667
200,1,1,2500,1601,0.6404,0.6806,267.811,10913.168,124.311,1967.459,0.3205,0.02710,63.2547,966.7360,0.79355,0.021818,7.8432,21.3964
