seed,chunk_x,chunk_z,total_cells,open_cells,open_fraction,tile_entropy,isovist_area_mean,isovist_area_var,perimeter_mean,perimeter_var,occlusivity_mean,occlusivity_var,jaggedness_mean,jaggedness_var,clustering_mean,clustering_var,drift_mean,drift_var
118,1,1,2500,2117,0.8468,0.6413,360.292,57911.660,138.036,3474.718,0.3189,0.02623,64.1778,1265.8394,0.82393,0.020723,8.5213,23.0001
119,1,1,2500,1811,0.7244,0.6581,169.295,13555.261,105.329,2781.151,0.3808,0.01976,72.5090,1383.3062,0.72746,0.021524,5.8677,12.7764
120,1,1,2500,1750,0.7000,0.7333,179.281,6000.397,94.216,1235.078,0.2998,0.01829,56.0865,968.6486,0.79485,0.025124,5.7107,9.8296
121,1,1,2500,1748,0.6992,0.6550,212.181,7242.312,81.704,636.127,0.1833,0.01328,36.9819,726.9380,0.90031,0.012543,6.3007,11.4113
122,1,1,2500,1762,0.7048,0.6923,316.421,47456.855,130.818,3814.121,0.3547,0.01898,63.1657,1074.7676,0.80718,0.015376,8.0135,20.7432
123,1,1,2500,2054,0.8216,0.5823,549.604,169861.250,156.425,6109.601,0.2752,0.02835,57.5853,854.4899,0.87736,0.010464,10.2298,32.6544
124,1,1,2500,1973,0.7892,0.5645,238.107,13348.216,123.381,2241.734,0.3742,0.01858,68.3110,841.9330,0.76867,0.014950,7.6907,20.3818
125,1,1,2500,2020,0.8080,0.7589,209.775,14143.503,108.051,2105.561,0.3383,0.02085,61.6508,852.7881,0.78718,0.019377,6.6383,13.3205
126,1,1,2500,1904,0.7616,0.6351,165.581,7237.562,101.113,2427.395,0.3028,0.02922,66.7491,1547.2397,0.78653,0.028517,6.0828,12.9011
127,1,1,2500,2029,0.8116,0.5633,193.102,12669.891,113.157,3255.354,0.3912,0.03190,72.4693,1721.7766,0.73198,0.027665,5.5728,10.3964
128,1,1,2500,1898,0.7592,0.6880,181.362,8220.337,106.342,1979.452,0.3264,0.02116,70.9599,1787.3250,0.78229,0.020394,6.8257,16.6810
129,1,1,2500,1831,0.7324,0.6049,951.172,195207.344,250.827,9821.174,0.4280,0.01451,72.0246,665.8416,0.84012,0.005076,13.1410,41.7865
130,1,1,2500,1171,0.4684,0.5083,151.944,6911.088,95.303,1881.568,0.2445,0.01399,64.4746,896.5660,0.81810,0.021198,6.7524,24.3251
